Date,Open,High,Low,Close,Volume
05/16/2007,"89.54","90.98","89.10","90.29","784,900"
05/15/2007,"91.36","91.79","89.30","89.54","945,510"
05/14/2007,"90.42","91.77","90.30","91.31","996,910"
05/11/2007,"89.92","90.89","89.26","90.02","541,220"
05/10/2007,"89.86","90.85","89.25","89.95","841,413"
05/09/2007,"89.46","90.94","89.12","89.98","1,122,700"
05/08/2007,"89.13","91.00","87.46","90.16","3,154,380"
05/07/2007,"82.08","82.98","81.50","82.82","956,930"
05/04/2007,"79.77","82.39","79.75","82.09","1,146,997"
05/03/2007,"80.78","81.10","79.50","79.76","725,100"
05/02/2007,"80.10","82.25","79.66","80.74","947,625"
05/01/2007,"80.59","81.19","78.89","80.06","1,829,600"
04/30/2007,"84.82","87.00","80.05","80.59","5,018,912"
04/27/2007,"90.00","90.47","84.37","86.50","3,449,500"
04/26/2007,"92.00","92.87","89.68","90.05","2,098,800"
04/25/2007,"93.44","93.44","91.73","92.56","1,278,900"
04/24/2007,"92.59","94.25","92.15","93.44","1,206,900"
04/23/2007,"91.64","93.74","91.00","92.99","1,622,120"
04/20/2007,"90.57","92.00","89.97","91.64","1,160,530"
04/19/2007,"90.45","91.15","89.79","90.57","707,800"
04/18/2007,"90.38","91.49","89.88","91.25","633,900"
04/17/2007,"90.77","91.33","89.64","90.58","722,300"
04/16/2007,"88.95","90.67","88.95","90.17","1,054,810"
04/13/2007,"88.76","89.77","88.13","88.79","676,098"
04/12/2007,"88.20","88.78","86.00","88.76","2,931,441"
04/11/2007,"90.79","90.89","88.99","90.08","1,095,100"
04/10/2007,"90.60","90.86","89.57","90.79","799,100"
04/09/2007,"90.40","91.14","90.08","90.66","968,100"
04/05/2007,"91.22","91.22","88.89","89.80","541,400"
04/04/2007,"88.78","90.00","88.56","89.34","594,700"
04/03/2007,"87.74","89.69","87.74","88.77","812,100"
04/02/2007,"85.32","87.29","85.30","86.84","899,000"
03/30/2007,"84.61","85.80","84.53","85.25","939,600"
03/29/2007,"86.72","86.72","83.51","84.61","1,877,900"
03/28/2007,"88.02","88.02","86.41","86.72","1,119,600"
03/27/2007,"88.08","88.09","86.80","87.85","948,000"
03/26/2007,"89.00","89.03","87.50","88.08","1,326,800"
03/23/2007,"89.67","89.70","88.24","88.57","1,751,100"
03/22/2007,"89.44","90.49","89.15","89.72","5,163,100"
03/21/2007,"89.01","89.10","88.30","88.78","1,205,500"
03/20/2007,"89.50","89.81","88.40","89.15","1,525,000"
03/19/2007,"87.65","89.72","87.50","89.29","1,770,600"
03/16/2007,"85.58","86.98","85.00","85.49","501,900"
03/15/2007,"85.52","86.62","85.50","85.98","514,000"
03/14/2007,"85.39","85.55","83.92","85.52","726,300"
03/13/2007,"86.70","87.27","85.39","85.53","761,000"
03/12/2007,"84.40","86.86","84.13","86.77","1,096,400"
03/09/2007,"84.14","84.98","82.15","83.55","1,017,400"
03/08/2007,"86.20","86.76","85.11","85.74","790,100"
03/07/2007,"84.49","86.12","84.17","85.10","831,400"
03/06/2007,"82.90","84.32","82.75","84.19","665,500"
03/05/2007,"82.49","83.81","80.31","82.10","840,806"
03/02/2007,"82.43","85.44","81.88","84.01","1,191,700"
03/01/2007,"81.11","83.48","80.27","82.93","680,150"
02/28/2007,"80.03","82.21","79.50","82.09","639,800"
02/27/2007,"81.28","81.66","80.06","80.08","992,000"
02/26/2007,"81.32","81.88","80.10","81.58","629,300"
02/23/2007,"82.22","82.51","80.55","80.82","856,700"
02/22/2007,"81.00","82.57","80.80","82.37","614,900"
02/21/2007,"80.97","81.45","80.07","81.08","598,600"
02/20/2007,"78.75","81.24","78.15","80.96","894,100"
02/16/2007,"79.48","80.04","77.89","78.75","923,300"
02/15/2007,"77.35","80.00","76.02","79.70","1,116,700"
02/14/2007,"77.11","78.62","74.18","78.03","1,736,872"
02/13/2007,"76.45","77.91","76.45","77.02","641,097"
02/12/2007,"75.88","77.36","75.57","76.50","872,351"
02/09/2007,"76.38","77.26","75.94","76.13","385,500"
02/08/2007,"77.36","77.74","76.39","76.58","567,600"
02/07/2007,"78.59","78.66","77.20","77.66","547,500"
02/06/2007,"77.35","78.39","77.26","78.39","517,400"
02/05/2007,"78.37","78.37","76.69","77.49","824,800"
02/02/2007,"78.78","79.53","77.05","77.61","981,500"
02/01/2007,"77.53","78.89","77.35","78.78","561,200"
01/31/2007,"77.40","77.66","76.51","77.48","296,600"
01/30/2007,"77.10","77.78","75.88","77.20","606,600"
01/29/2007,"75.68","77.22","75.30","76.94","599,600"
01/26/2007,"75.30","75.59","74.39","75.28","396,100"
01/25/2007,"75.73","76.47","75.00","75.14","422,300"
01/24/2007,"74.69","75.78","74.14","75.73","480,900"
01/23/2007,"73.88","75.39","73.14","75.09","538,200"
01/22/2007,"74.09","74.25","73.07","73.68","549,300"
01/19/2007,"73.00","73.69","72.93","73.69","339,600"
01/18/2007,"75.05","75.05","72.03","72.75","1,215,300"
01/17/2007,"76.39","76.73","75.01","75.25","383,500"
01/16/2007,"74.57","76.45","74.57","76.39","640,200"
01/12/2007,"74.91","74.91","73.52","74.56","458,500"
01/11/2007,"72.03","74.99","71.93","74.91","673,800"
01/10/2007,"70.40","72.21","70.08","71.93","687,600"
01/09/2007,"71.07","71.22","69.43","70.43","465,000"
01/08/2007,"69.91","70.97","69.26","70.97","749,900"
01/05/2007,"69.19","69.64","68.49","69.31","799,600"
01/04/2007,"69.00","69.50","68.25","69.39","591,300"
01/03/2007,"69.50","69.99","68.25","69.14","916,900"
