Date,Open,High,Low,Close,Volume
06/15/2006,"48.00","48.60","47.47","48.11","582,100"
06/14/2006,"49.28","49.76","47.50","47.95","756,400"
06/13/2006,"48.10","50.07","48.00","49.48","1,016,000"
06/12/2006,"49.10","49.10","48.00","48.30","702,400"
06/09/2006,"48.75","50.13","48.69","49.56","597,000"
06/08/2006,"47.41","49.10","47.19","48.50","866,800"
06/07/2006,"47.10","48.41","46.91","47.40","295,600"
06/06/2006,"47.54","48.13","46.50","47.05","616,600"
06/05/2006,"48.50","48.84","47.41","47.54","712,000"
06/02/2006,"50.04","50.44","48.84","49.06","689,600"
06/01/2006,"49.90","50.39","49.90","50.05","613,000"
05/31/2006,"48.94","49.95","48.94","49.75","610,700"
05/30/2006,"48.91","49.73","48.74","48.94","709,500"
05/26/2006,"49.70","49.80","48.60","48.91","523,500"
05/25/2006,"48.10","50.02","48.10","49.50","1,033,500"
05/24/2006,"49.30","49.48","47.67","47.96","666,400"
05/23/2006,"49.00","50.09","49.00","49.46","817,700"
05/22/2006,"47.54","49.42","47.54","48.85","943,200"
05/19/2006,"46.89","48.50","46.65","48.34","634,700"
05/18/2006,"48.36","48.55","46.82","46.89","521,400"
05/17/2006,"47.45","48.52","47.36","48.32","692,000"
05/16/2006,"48.05","48.68","47.23","47.45","663,900"
05/15/2006,"46.91","48.20","46.50","47.90","546,100"
05/12/2006,"45.60","47.66","45.50","47.31","869,200"
05/11/2006,"45.38","45.95","44.84","45.75","581,400"
05/10/2006,"45.65","46.00","45.02","45.38","581,200"
05/09/2006,"43.25","45.00","43.25","44.50","1,955,800"
05/08/2006,"41.05","41.60","40.58","41.25","472,100"
05/05/2006,"39.55","41.15","39.42","41.04","437,000"
05/04/2006,"39.11","40.80","39.11","39.50","355,900"
05/03/2006,"39.77","40.00","39.02","39.41","386,000"
05/02/2006,"40.58","41.20","40.52","40.97","311,300"
05/01/2006,"41.75","41.86","40.40","40.58","548,600"
04/28/2006,"40.86","42.16","40.83","41.88","442,000"
04/27/2006,"42.90","43.25","39.66","40.66","1,154,100"
04/26/2006,"42.99","43.25","42.70","43.15","222,700"
04/25/2006,"42.80","43.16","42.69","42.99","374,500"
04/24/2006,"42.60","42.80","42.18","42.80","193,700"
04/21/2006,"43.40","43.40","42.17","42.75","161,300"
04/20/2006,"43.94","44.02","42.80","43.09","260,600"
04/19/2006,"44.46","44.50","43.51","43.94","340,400"
04/18/2006,"43.60","44.63","43.34","44.26","391,400"
04/17/2006,"43.35","43.42","42.90","43.35","199,400"
04/13/2006,"43.33","43.60","42.79","43.42","129,900"
04/12/2006,"42.25","43.17","42.14","43.03","380,300"
04/11/2006,"42.90","42.92","41.59","41.95","259,900"
04/10/2006,"43.85","43.85","42.03","42.65","340,200"
04/07/2006,"43.77","44.40","43.23","43.86","250,700"
04/06/2006,"44.60","44.65","43.50","43.77","408,200"
04/05/2006,"43.95","44.87","43.83","44.65","284,200"
04/04/2006,"44.25","44.30","43.31","44.13","415,600"
04/03/2006,"45.29","45.63","44.03","44.15","659,900"
03/31/2006,"45.22","45.59","44.89","45.44","334,300"
03/30/2006,"43.90","45.50","43.81","45.22","954,800"
03/29/2006,"43.93","43.99","42.19","43.85","320,500"
03/28/2006,"43.97","43.97","42.97","43.14","390,400"
03/27/2006,"42.72","43.57","42.72","43.37","366,600"
03/24/2006,"41.98","42.80","41.72","42.76","333,100"
03/23/2006,"41.84","42.00","41.02","42.00","309,400"
03/22/2006,"41.67","41.80","41.28","41.74","257,700"
03/21/2006,"41.42","42.05","41.15","41.67","315,000"
03/20/2006,"42.32","42.33","40.88","41.52","551,500"
03/17/2006,"42.87","42.99","42.24","42.33","434,400"
03/16/2006,"42.49","42.91","42.25","42.67","228,400"
03/15/2006,"42.51","42.95","42.22","42.49","340,200"
03/14/2006,"41.89","42.60","41.43","42.51","431,300"
03/13/2006,"40.80","41.75","40.50","41.74","578,300"
03/10/2006,"41.12","41.39","40.76","41.05","290,400"
03/09/2006,"42.00","42.75","40.93","41.00","592,200"
03/08/2006,"40.10","41.88","40.10","41.60","2,640,900"
03/07/2006,"38.80","40.30","38.75","39.56","355,800"
03/06/2006,"38.55","39.40","38.55","38.90","364,200"
03/03/2006,"39.40","40.19","39.25","39.50","343,100"
03/02/2006,"38.93","39.53","38.61","39.50","306,600"
03/01/2006,"38.75","39.38","38.61","39.03","285,900"
02/28/2006,"39.58","39.75","38.80","38.95","384,900"
02/27/2006,"40.48","41.24","39.59","39.78","562,900"
02/24/2006,"40.93","41.20","40.25","40.48","282,900"
02/23/2006,"40.90","41.63","40.72","40.96","386,800"
02/22/2006,"40.65","41.59","40.65","41.12","241,400"
02/21/2006,"41.95","42.18","40.30","40.55","397,900"
02/17/2006,"40.80","41.67","40.80","41.60","378,400"
02/16/2006,"41.01","41.34","40.65","40.70","644,500"
02/15/2006,"41.50","41.50","40.49","41.01","621,400"
02/14/2006,"41.40","42.90","40.97","41.50","1,032,700"
02/13/2006,"39.01","39.30","38.27","39.25","529,600"
02/10/2006,"40.00","40.00","37.76","39.00","906,100"
02/09/2006,"40.14","40.70","39.83","40.00","501,600"
02/08/2006,"40.51","40.51","39.79","40.13","235,100"
02/07/2006,"40.41","41.63","40.12","40.51","263,600"
02/06/2006,"41.57","41.74","39.99","40.40","506,100"
02/03/2006,"41.60","41.95","41.19","41.60","347,000"
02/02/2006,"41.85","42.20","41.32","41.70","598,600"
02/01/2006,"40.33","43.90","40.33","41.87","910,000"
01/31/2006,"39.75","40.92","39.44","40.43","441,700"
01/30/2006,"38.96","40.00","38.96","39.68","333,500"
01/27/2006,"37.83","39.33","37.83","39.16","307,800"
01/26/2006,"38.20","38.48","37.26","37.63","365,700"
01/25/2006,"38.58","38.58","37.37","37.95","291,800"
01/24/2006,"37.42","38.70","37.38","38.57","362,500"
01/23/2006,"37.32","38.04","37.25","37.40","278,300"
01/20/2006,"38.19","38.21","36.70","37.27","237,800"
01/19/2006,"38.11","38.85","37.90","37.99","753,600"
01/18/2006,"37.35","38.40","37.35","38.11","204,200"
01/17/2006,"36.75","37.92","36.54","37.62","402,700"
01/13/2006,"37.87","37.88","37.08","37.29","388,900"
01/12/2006,"38.14","38.31","37.54","37.86","510,300"
01/11/2006,"38.83","38.86","36.32","38.27","1,109,300"
01/10/2006,"40.16","40.23","38.73","38.85","437,300"
01/09/2006,"41.14","41.14","40.30","40.31","284,200"
01/06/2006,"41.43","41.51","40.70","41.13","245,500"
01/05/2006,"41.28","41.89","41.27","41.43","190,400"
01/04/2006,"41.42","42.00","41.20","41.88","138,700"
01/03/2006,"40.80","41.73","40.40","41.50","229,300"
